Date,Open,High,Low,Close,,,
10-10-2019,1311,1320.5,1220.1,1228.95,621294,100.4,82.05
09-10-2019,1241.8,1319.8,1236.75,1309.5,325215,83.05,-67.7
07-10-2019,1272,1280,1215.05,1241.8,212908,64.95,30.2
04-10-2019,1276.6,1292.5,1255.4,1264,385108,37.1,12.6
03-10-2019,1282.65,1308.5,1220,1256.6,552943,88.5,26.05
01-10-2019,1395,1413.8,1225.2,1294.6,729727,188.6,100.4
30-09-2019,1477.9,1477.9,1346.35,1381.6,412313,131.55,96.3
27-09-2019,1544,1545,1470.8,1483.05,199396,74.2,60.95
26-09-2019,1509,1554,1509,1546.75,245477,45,-37.75
25-09-2019,1500,1521.65,1492.95,1503.6,194425,28.7,-3.6
24-09-2019,1510,1526.25,1496.55,1517.05,256508,29.7,-7.05
23-09-2019,1444,1548,1444,1510.05,591382,104,-66.05
20-09-2019,1282.2,1453.95,1270.25,1419.6,704761,183.7,-137.4
19-09-2019,1331,1333.55,1278,1281.95,221945,55.55,49.05
18-09-2019,1334.8,1349.2,1322.05,1329.65,214330,27.15,5.15
17-09-2019,1381,1384.4,1325.9,1332.55,154989,58.5,48.45
16-09-2019,1388,1394.25,1365,1375.5,108347,29.25,12.5
13-09-2019,1391,1406,1371,1398.55,194864,35,-7.55
12-09-2019,1362,1411.65,1362,1390.35,193761,49.65,-28.35
11-09-2019,1337,1379.8,1337,1371.7,128233,42.8,-34.7
09-09-2019,1325,1340,1308.6,1333.95,157376,31.4,-8.95
06-09-2019,1316,1340.1,1313.45,1331.15,102691,26.65,-15.15
05-09-2019,1337,1337,1303.4,1307.7,186516,33.6,29.3
04-09-2019,1345,1345,1297.2,1317.35,204869,47.8,27.65
03-09-2019,1380,1387.75,1335.4,1344.15,292298,52.35,35.85
30-08-2019,1358,1401.2,1330.5,1394.45,198772,70.7,-36.45
29-08-2019,1361.5,1380,1338.5,1351.2,113762,41.5,10.3
28-08-2019,1367.05,1407,1354.35,1365.05,249854,52.65,2
27-08-2019,1360,1401,1355,1385.35,290102,46,-25.35
26-08-2019,1340,1354.2,1267.5,1348.65,408770,86.7,-8.65
23-08-2019,1340,1342.95,1279.85,1310.35,426887,63.1,29.65
22-08-2019,1370,1370,1330,1335.7,200868,40,34.3
21-08-2019,1385,1420.05,1358.5,1365.9,188131,61.55,19.1
20-08-2019,1449,1451,1388.7,1404.75,214275,62.3,44.25
19-08-2019,1440,1458.4,1431.35,1438.65,214858,27.05,1.35
16-08-2019,1397.9,1444.85,1375.75,1438.25,130624,69.1,-40.35
14-08-2019,1388.95,1407,1383,1400.45,119839,24,-11.5
13-08-2019,1414,1415.65,1352,1373.35,138445,63.65,40.65
09-08-2019,1428.6,1454.5,1405.55,1413.9,821022,48.95,14.7
08-08-2019,1440,1440,1373.1,1415.05,332613,66.9,24.95
07-08-2019,1419.8,1461.5,1416,1426.6,350991,45.5,-6.8
06-08-2019,1385.5,1430,1380.4,1416.35,198090,49.6,-30.85
05-08-2019,1369.8,1404.9,1350,1391.25,214515,54.9,-21.45
02-08-2019,1399.7,1411.9,1366.45,1382.5,337156,45.45,17.2
01-08-2019,1398,1434.9,1365,1399.7,314141,69.9,-1.7
31-07-2019,1324,1418.8,1313.85,1413,323039,104.95,-89
30-07-2019,1430.25,1447,1318.15,1336.9,262283,128.85,93.35
29-07-2019,1429.95,1436.2,1401,1432.35,233499,35.2,-2.4
26-07-2019,1392,1422,1387.4,1415.95,130180,34.6,-23.95
25-07-2019,1363,1419.7,1363,1392.2,209850,56.7,-29.2
24-07-2019,1407.8,1425.75,1354.5,1361.45,191486,71.25,46.35
23-07-2019,1427.65,1432.55,1405,1416.2,103665,27.55,11.45
22-07-2019,1425,1428,1382.2,1417.2,162100,45.8,7.8
19-07-2019,1484,1487.2,1407.25,1421.45,183634,79.95,62.55
18-07-2019,1493,1503.2,1467.9,1471.55,93335,35.3,21.45
17-07-2019,1480,1508,1457.3,1500.7,233773,50.7,-20.7
16-07-2019,1495,1495,1461,1473.4,117377,34,21.6
15-07-2019,1526.25,1530.9,1466.7,1474.4,268738,64.2,51.85
12-07-2019,1546,1562,1493.4,1510.35,479388,68.6,35.65
11-07-2019,1500,1555.5,1495.05,1540.85,187875,60.45,-40.85
10-07-2019,1500,1520.55,1469.45,1487.75,155149,51.1,12.25
09-07-2019,1480,1508.8,1456.4,1492.4,120911,52.4,-12.4
08-07-2019,1526.5,1544.6,1470.15,1475.95,171108,74.45,50.55
05-07-2019,1499.9,1538.95,1485.05,1531.95,193644,53.9,-32.05
04-07-2019,1470.2,1514,1468.6,1493.75,226345,45.4,-23.55
03-07-2019,1423,1480,1423,1470.15,195372,57,-47.15
02-07-2019,1440.25,1452.1,1411.05,1416.5,121948,41.05,23.75
01-07-2019,1425.05,1441,1416.7,1433.2,103423,24.3,-8.15
28-06-2019,1454.05,1459.85,1401,1410.1,145672,58.85,43.95
27-06-2019,1440.8,1464.5,1436.15,1451.45,117521,28.35,-10.65
26-06-2019,1430,1451.15,1427.75,1435.3,78470,23.4,-5.3
25-06-2019,1451,1461,1443.3,1450.05,81587,17.7,0.95
24-06-2019,1478,1485,1451,1460.7,156403,34,17.3
21-06-2019,1441,1464.25,1419.6,1448.7,182991,44.65,-7.7
20-06-2019,1385,1440.35,1348.7,1435.5,229923,91.65,-50.5
19-06-2019,1420.5,1435.2,1371,1382.9,203758,64.2,37.6
18-06-2019,1416.9,1444.9,1402,1408.55,276443,42.9,8.35
17-06-2019,1432.9,1442.5,1395.75,1399.25,259538,46.75,33.65
14-06-2019,1491.35,1495.1,1412.05,1425.1,445580,83.05,66.25
13-06-2019,1525,1525,1441.1,1490.05,418802,83.9,34.95
12-06-2019,1594,1601.75,1560.65,1567.75,120925,41.1,26.25
11-06-2019,1565,1595,1561.4,1587.25,110863,33.6,-22.25
10-06-2019,1569.75,1583.95,1537,1550.25,123075,46.95,19.5
07-06-2019,1539.9,1560,1482.85,1550.9,263406,77.15,-11
06-06-2019,1636.1,1636.1,1510,1522.05,233538,126.1,114.05
04-06-2019,1663.85,1672.9,1630,1636.1,134162,42.9,27.75
03-06-2019,1593,1667.35,1590.4,1663.85,686182,76.95,-70.85
31-05-2019,1595,1610,1556,1604.5,118729,54,-9.5
30-05-2019,1607.85,1621.7,1580,1586.1,62867,41.7,21.75
29-05-2019,1612,1629,1602.05,1607.85,50539,26.95,4.15
28-05-2019,1620,1632,1596.55,1618.6,63554,35.45,1.4
27-05-2019,1640.2,1645,1604.3,1610.75,130505,40.7,29.45
24-05-2019,1604,1657.8,1595.5,1649.85,261300,62.3,-45.85
23-05-2019,1550.9,1639.95,1544.65,1596.85,566948,95.3,-45.95
22-05-2019,1454,1535.75,1385.5,1517.55,870177,150.25,-63.55
21-05-2019,1500,1515,1441,1447.55,171890,74,52.45
20-05-2019,1402,1503.35,1402,1492.6,193689,101.35,-90.6
17-05-2019,1369.75,1394,1366,1373.85,103138,28,-4.1
16-05-2019,1381,1382,1348.45,1359.2,160106,33.55,21.8
15-05-2019,1445,1448.9,1374.25,1378.1,158777,74.65,66.9
14-05-2019,1395,1441.1,1387.4,1430.45,188061,53.7,-35.45
13-05-2019,1454.95,1454.95,1390,1394.5,84840,64.95,60.45
10-05-2019,1495,1495,1430,1440.6,101840,65,54.4
09-05-2019,1487.7,1488,1469.6,1476.65,53589,18.4,11.05
08-05-2019,1518.05,1527.7,1480,1487.6,61517,47.7,30.45
07-05-2019,1543.5,1543.5,1494.6,1514.95,110503,48.9,28.55
06-05-2019,1550,1550,1521,1527.35,63961,29,22.65
03-05-2019,1561.3,1580,1549.05,1559,105485,30.95,2.3
02-05-2019,1610,1616.95,1555,1562.6,92649,61.95,47.4
30-04-2019,1695,1695,1576.75,1607.7,169369,118.25,87.3
26-04-2019,1690,1701.65,1663,1696.05,76286,38.65,-6.05
25-04-2019,1708.6,1723.15,1670,1683.2,80920,53.15,25.4
24-04-2019,1678,1705.65,1665,1700.15,104923,40.65,-22.15
23-04-2019,1697.5,1717.1,1648.05,1654.6,105100,69.05,42.9
22-04-2019,1755,1755,1682.7,1691.45,97085,72.3,63.55
18-04-2019,1815.85,1822.15,1755.4,1764,70029,66.75,51.85
16-04-2019,1750,1820.5,1750,1815.85,152093,70.5,-65.85
15-04-2019,1740,1764.75,1735.15,1746.65,46573,29.6,-6.65
12-04-2019,1742.1,1744,1725.75,1738.65,44346,18.25,3.45
11-04-2019,1745,1753.9,1729,1740.8,51930,24.9,4.2
10-04-2019,1756,1780,1740.5,1748.95,75943,39.5,7.05
09-04-2019,1757,1772.4,1731,1768.15,70151,41.4,-11.15
08-04-2019,1768,1797.5,1746.5,1751.75,94043,51,16.25
05-04-2019,1742.2,1774.7,1742.2,1764.45,49607,32.5,-22.25
04-04-2019,1770.55,1781.45,1726.65,1739.8,78680,54.8,30.75
03-04-2019,1779.5,1816,1765,1772.8,119553,51,6.7
02-04-2019,1758.8,1780.65,1732,1776.45,131555,48.65,-17.65
01-04-2019,1797,1799.4,1738.45,1742.55,103872,60.95,54.45
29-03-2019,1812,1813.65,1773,1782.1,88376,40.65,29.9
28-03-2019,1819.9,1835,1778,1819.95,108756,57,-0.05
