Date,Open,High,Low,Close
20-06-2018,112.35,112.35,112.35,112.35
15-06-2018,112.35,112.35,112.35,112.35
14-06-2018,113,113,113,113
13-06-2018,113,113.25,113,113.1
12-06-2018,112.75,112.75,112.75,112.75
08-06-2018,112.25,112.25,112.25,112.25
07-06-2018,111.56,112,111.56,112
06-06-2018,111,111.4,111,111.4
04-06-2018,111.25,111.25,111.25,111.25
01-06-2018,111.25,111.25,111.25,111.25
30-05-2018,112,112,111.16,111.16
29-05-2018,111,111.97,111,111.97
28-05-2018,110.75,111.83,110.75,111.83
25-05-2018,110,110.25,110,110.25
24-05-2018,109,109,109,109
23-05-2018,108,110,105.6,109.25
21-05-2018,108,110.66,108,109.75
18-05-2018,111,111,110.75,110.75
17-05-2018,112,112,111.75,111.75
16-05-2018,113,113,112,112.64
15-05-2018,113.15,113.15,113,113
10-05-2018,112.25,112.25,112.25,112.25
09-05-2018,112.59,112.74,112.59,112.74
08-05-2018,112.72,112.72,112.72,112.72
07-05-2018,112,112,111.26,111.31
04-05-2018,111.99,111.99,111.99,111.99
03-05-2018,112.57,112.57,112.25,112.25
02-05-2018,113.15,113.15,113.15,113.15
30-04-2018,111.75,112.75,111.75,112.75
27-04-2018,110.75,110.75,109.25,109.25
26-04-2018,110.75,110.75,110.75,110.75
25-04-2018,111.5,111.5,111.5,111.5
20-04-2018,111.31,111.31,111.31,111.31
18-04-2018,111.41,111.41,111.36,111.41
17-04-2018,111.25,111.25,111.25,111.25
16-04-2018,110.75,110.75,110.5,110.55
13-04-2018,113,113,113,113
12-04-2018,110.25,115.9,108,115.9
11-04-2018,112,112,112,112
10-04-2018,112,112,112,112
09-04-2018,112.25,112.25,111,111
06-04-2018,112,112,112,112
05-04-2018,111.5,111.5,111.5,111.5
04-04-2018,111,111.5,111,111.5
03-04-2018,111,111,111,111
02-04-2018,112,112,110.25,110.75
28-03-2018,110.25,110.25,110.25,110.25
27-03-2018,110,110.25,110,110.25
26-03-2018,107.75,109.75,107.75,107.75
22-03-2018,115,115,108,108
21-03-2018,109.25,109.5,107,109.5
20-03-2018,110,110,107.6,107.6
19-03-2018,110,110,110,110
16-03-2018,107.95,107.95,107.95,107.95
15-03-2018,115,115,111,111
14-03-2018,109.8,109.8,109.8,109.8
13-03-2018,108.55,108.55,108.45,108.45
12-03-2018,107.14,108.35,107.14,108.35
08-03-2018,112,112,112,112
07-03-2018,110.5,110.5,110.5,110.5
06-03-2018,112,112.5,109.5,109.5
05-03-2018,111,111,109,110.85
01-03-2018,112,112,110,110
28-02-2018,109.31,110.5,109.31,110.5
27-02-2018,111.5,112,109.84,109.84
26-02-2018,111.35,111.35,111.35,111.35
23-02-2018,111.35,111.35,111.35,111.35
21-02-2018,112.5,112.5,112.5,112.5
20-02-2018,111.8,112.25,111.8,112.25
15-02-2018,110.92,110.92,110.92,110.92
14-02-2018,111,111,110.22,110.3
12-02-2018,110.41,110.41,110.41,110.41
08-02-2018,111,111.04,109.65,109.65
07-02-2018,109,110.25,109,110
06-02-2018,108.25,108.4,108.25,108.4
05-02-2018,112.95,112.95,110.77,110.77
02-02-2018,114,114,112.94,112.95
01-02-2018,116,116,114.25,115.62
31-01-2018,116.1,116.1,115.25,115.25
30-01-2018,116.31,116.31,116.31,116.31
29-01-2018,116.38,116.95,116.38,116.95
24-01-2018,115,116.8,115,116
23-01-2018,115,116.4,115,116.4
22-01-2018,115,119.5,114.44,114.83
19-01-2018,113.97,114,113.97,113.98
17-01-2018,113.44,113.49,113.44,113.49
16-01-2018,113.63,113.63,113.63,113.63
15-01-2018,114.18,114.18,114.18,114.18
11-01-2018,112.97,113.02,112.97,113.02
10-01-2018,113,113,113,113
09-01-2018,112.5,113,112.5,113
08-01-2018,113,113,111.95,111.95
05-01-2018,112.21,112.21,112.21,112.21
04-01-2018,111.12,111.47,111.07,111.47
03-01-2018,111.43,111.53,111.13,111.13
02-01-2018,110.76,110.76,110.76,110.76
01-01-2018,111.74,111.79,111.69,111.69
28-12-2017,110,112,110,112
27-12-2017,111,111.5,111,111.5
26-12-2017,110.4,111.25,110.4,111.25
22-12-2017,111,111,109.5,109.5
20-12-2017,110.6,110.6,110.5,110.6
19-12-2017,109.6,109.6,109.2,109.2
18-12-2017,109.85,110,109.67,109.67
14-12-2017,107.6,107.6,107.15,107.6
13-12-2017,107.7,108.1,107.7,107.7
12-12-2017,108.9,108.9,108.5,108.53
11-12-2017,109.3,109.3,108.53,108.53
08-12-2017,108.2,108.2,108.2,108.2
07-12-2017,107,107,106.31,106.98
06-12-2017,107,107,105.8,105.8
05-12-2017,107,107,106.15,106.5
04-12-2017,107,107,106.5,106.9
01-12-2017,108.67,108.67,107.5,107.5
29-11-2017,109.85,109.9,109.8,109.9
28-11-2017,109.9,109.9,108,108
22-11-2017,109.4,109.4,109.4,109.4
21-11-2017,108.65,109.5,108.65,109.5
17-11-2017,108.4,108.8,108.4,108.8
16-11-2017,107,107.6,106.5,107.6
15-11-2017,107.4,107.4,106.75,106.75
14-11-2017,108,108,107.7,107.7
13-11-2017,115,119.5,108,108.3
10-11-2017,108,108.35,108,108.35
09-11-2017,108.6,108.6,108,108.05
08-11-2017,109.25,109.3,108.95,108.95
07-11-2017,110.5,110.7,109.8,109.8
06-11-2017,110.4,110.4,110.15,110.15
03-11-2017,113.4,113.4,113,113
02-11-2017,113.3,113.3,113,113
01-11-2017,113,113,113,113
31-10-2017,112.2,112.2,111.5,112
27-10-2017,111.25,111.65,111.25,111.65
25-10-2017,110.35,110.35,110,110.35
24-10-2017,109,110.1,109,109.45
23-10-2017,110.3,110.3,109,109
18-10-2017,110,110,109.5,110
17-10-2017,110.4,110.4,110.2,110.2
16-10-2017,110.25,110.25,110.1,110.1
13-10-2017,109.35,109.35,109.35,109.35
12-10-2017,107.9,107.9,107.5,107.5
11-10-2017,108.8,108.8,108,108
10-10-2017,107.6,108.1,107.6,108.1
