Date,Open,High,Low,Close
23-10-2019,453.4,459.75,448.2,455.65
22-10-2019,439,458.75,437.9,451.15
18-10-2019,438.4,443.55,435.35,437.75
17-10-2019,435.3,443.25,433.75,440.55
16-10-2019,434.1,439.6,431,435.3
15-10-2019,430,435.3,428,431.7
14-10-2019,430,436.35,426.1,428.6
11-10-2019,429.4,433.3,422.15,428.4
10-10-2019,431.7,431.7,420.3,423.7
09-10-2019,418,438.4,417.4,436.6
07-10-2019,416.75,423.6,411.6,416.3
04-10-2019,429.9,430,412.3,413.75
03-10-2019,422.5,434.05,422.5,427.3
01-10-2019,436.9,443.1,416.5,424.55
30-09-2019,445.75,445.75,431.15,433.4
27-09-2019,449.8,451.75,443.75,449.15
26-09-2019,437.25,458.45,436.5,452.05
25-09-2019,440,440.2,429.7,434.45
24-09-2019,443,448.55,433.35,440.85
23-09-2019,432,450,420.95,445.2
20-09-2019,388.3,423.9,386.65,417.35
19-09-2019,396,396.1,384.6,386.55
18-09-2019,404.9,404.9,396.7,399.15
17-09-2019,406.85,411.85,398.35,400.6
16-09-2019,409.6,415.75,406.9,411.95
13-09-2019,407.8,414.8,400.8,413.25
12-09-2019,398,407.05,398,402.75
11-09-2019,395.95,399.1,393.35,394.35
09-09-2019,392.05,400.3,389.5,394.45
06-09-2019,391.9,394.5,389.2,391.5
05-09-2019,389.7,393.9,388.1,388.9
04-09-2019,390,399.6,390,397.5
03-09-2019,407.95,407.95,391.05,392.15
30-08-2019,408.4,412.8,402.8,410.4
29-08-2019,411.7,411.7,399.5,404.7
28-08-2019,418.9,418.9,409.8,413.05
27-08-2019,413.7,420.4,411.6,418.7
26-08-2019,408.6,413.5,393,411.95
23-08-2019,390,403,385.8,395.75
22-08-2019,411.2,412.4,397.9,399.15
21-08-2019,414.35,418.85,410.75,412.2
20-08-2019,421.6,423,412.7,417.15
19-08-2019,421,427.6,420.3,423.4
16-08-2019,417.15,420.05,412.2,419.15
14-08-2019,413.8,422.2,411.75,417.35
13-08-2019,419.5,421.8,409.25,410.5
09-08-2019,416,422.4,414.6,420.4
08-08-2019,412,416.55,404.2,414.6
07-08-2019,409,415,406.45,408.4
06-08-2019,400.6,411.55,400.6,410.4
05-08-2019,403.5,406.25,396,402.6
02-08-2019,414.8,418,405.5,410.75
01-08-2019,423.7,426.2,410.8,417.15
31-07-2019,423,430.25,421.4,424.5
30-07-2019,430.8,438.75,422.8,424.95
29-07-2019,432.5,434.7,425.5,429.3
26-07-2019,409.3,419.4,408.7,415.5
25-07-2019,410.1,413.95,405.3,409.05
24-07-2019,412.25,412.5,401.9,408.55
23-07-2019,413.45,416,409.8,412.25
22-07-2019,410.8,413.15,404.2,411.7
19-07-2019,419.5,420.05,408.55,410.1
18-07-2019,425.8,425.9,417.7,418.7
17-07-2019,424.05,426.9,422.65,424.7
16-07-2019,422,430.4,421.2,424.55
15-07-2019,427.45,428.3,421.75,422.4
12-07-2019,426.7,432.5,423.9,427.05
11-07-2019,431.35,432.8,425,426.7
10-07-2019,429.15,432.8,427.3,430.95
09-07-2019,429.85,429.85,424.8,428.65
08-07-2019,434.5,435,422.35,425.9
05-07-2019,436.2,439.85,432.95,436.25
04-07-2019,436.1,441.4,434.1,435.95
03-07-2019,437.15,440.1,434.3,436
02-07-2019,439.9,439.9,433.7,436.8
01-07-2019,439.7,441.95,437.55,438.65
28-06-2019,439.8,440.55,433.65,437.25
27-06-2019,439.8,443.85,437.9,440.75
26-06-2019,432.8,439.95,432.35,438.6
25-06-2019,429.6,434.5,424.8,433.65
24-06-2019,431.5,433.65,428.55,429.6
21-06-2019,432.95,435.2,428.75,430.85
20-06-2019,420.15,434.5,419.6,433.35
19-06-2019,425,426,417.4,419.9
18-06-2019,415.05,425.9,415.05,422.2
17-06-2019,418.2,419.75,413.4,414.4
14-06-2019,420,421.65,416.2,417.9
13-06-2019,416,422.1,415.4,420
12-06-2019,422.5,422.5,414.9,418
11-06-2019,419.35,423.9,413.15,421.45
10-06-2019,419.4,422.75,412.85,415.9
07-06-2019,413.75,418.4,407.85,416.85
06-06-2019,416.5,417.9,410.4,411.6
04-06-2019,416,422.75,416,418.95
03-06-2019,422.55,426.25,419.6,422.85
31-05-2019,429.5,430.3,414.55,423.4
30-05-2019,422.95,427.9,420,426.45
29-05-2019,429.9,430.05,421.8,422.9
28-05-2019,435,437.8,428.55,434.5
27-05-2019,431.7,437.9,430,435.2
24-05-2019,413.9,433.55,413,431.5
23-05-2019,412.2,427.7,407.7,410.6
22-05-2019,402,408.35,401.2,405.5
21-05-2019,408.15,410.95,397.85,400.35
20-05-2019,404,414,402,407.8
17-05-2019,381.8,392.1,381.1,390.3
16-05-2019,379,385,377.5,381.8
15-05-2019,383.45,384.45,376,377.05
14-05-2019,377.6,387.55,376.55,380.8
13-05-2019,386.8,386.8,375.05,376.2
10-05-2019,384,389,382.35,384.8
09-05-2019,382,385.6,377.5,381.45
08-05-2019,386,390.1,380.05,381.85
07-05-2019,400.9,407.4,384,386.25
06-05-2019,398,404.85,394.45,401.4
03-05-2019,397.45,405.25,394.75,401.85
02-05-2019,404.6,405.15,393.5,394.6
30-04-2019,407.4,409.75,403.25,407.75
