Date,Open,High,Low,Close
27-09-2019,701.9,707.5,692.8,700.85
26-09-2019,691,719.55,686.9,700.1
25-09-2019,701.85,703.05,683.85,694.9
24-09-2019,729.8,733.55,702.2,704.3
23-09-2019,703,736,695.1,727.05
20-09-2019,642.8,689.3,622.6,680.7
19-09-2019,648,649.9,632.7,638.25
18-09-2019,643.8,654.2,641.7,648.2
17-09-2019,670,670,638.15,640.2
16-09-2019,670.6,674.5,665,671.2
13-09-2019,667.4,675.9,657.2,674.35
12-09-2019,677.1,681.5,660.7,662.8
11-09-2019,674.5,683.15,671.2,681.7
09-09-2019,668.85,675.8,662.5,671.6
06-09-2019,651.2,672.9,651.2,671
05-09-2019,652,659.6,644.5,649.25
04-09-2019,647.5,653,638.7,646.95
03-09-2019,661.9,661.9,641.15,645.35
30-08-2019,666.7,668.35,640.5,663.75
29-08-2019,676.5,676.5,658.7,660.95
28-08-2019,684.9,689.5,673.8,678.1
27-08-2019,693,696.7,680.15,682.55
26-08-2019,676.55,686.85,660.95,683.65
23-08-2019,660,671.15,645.6,663.4
22-08-2019,669,669.8,657.95,660.9
21-08-2019,671,673.85,659.8,665
20-08-2019,686.6,686.6,669.25,672.2
19-08-2019,679,688.75,676.75,685
16-08-2019,663,677.8,657,675.55
14-08-2019,655.8,669.55,652.3,663.2
13-08-2019,666.9,668.95,645,650.15
09-08-2019,663,675.5,659.6,660.7
08-08-2019,668,668,643.25,660
07-08-2019,679.75,679.75,654.5,660.05
06-08-2019,660,682.9,655.8,678.85
05-08-2019,669.8,669.8,650,662.9
02-08-2019,665.05,681.35,662,673.45
01-08-2019,674.3,680.8,663,669.65
31-07-2019,694,695.35,657.65,674.4
30-07-2019,725.05,727.7,701.1,706.55
29-07-2019,745,745,709.9,719.65
26-07-2019,723.3,732.3,719.1,729.85
25-07-2019,712,725.85,706.55,723.3
24-07-2019,729,732.75,709.45,711.1
23-07-2019,734.9,739.3,715.85,726.4
22-07-2019,732.75,738.4,720.6,727.5
19-07-2019,744,746.45,723.25,729.45
18-07-2019,754.95,754.95,734.75,740.85
17-07-2019,761.7,765.6,750.2,752.65
16-07-2019,752.5,763,748,761.7
15-07-2019,757.95,759.2,744,749.65
12-07-2019,767,768,751.1,755.45
11-07-2019,772.2,773.25,763,766.65
10-07-2019,788.95,789.4,764.45,768.5
09-07-2019,782,788.6,776.6,786.2
08-07-2019,803.4,804.45,779.05,783.05
05-07-2019,811.9,813,801.8,805.95
04-07-2019,809.05,813.5,804.25,808.65
03-07-2019,803.5,811,801.75,806.3
02-07-2019,813,813.35,800.7,802.65
01-07-2019,810,819.05,807.55,810.25
28-06-2019,793.15,812.9,793.15,807.65
27-06-2019,789.35,806.65,782,800.35
26-06-2019,782.35,792,781.7,788.95
25-06-2019,763,783,757,781.85
24-06-2019,771,775.35,760.9,762.85
21-06-2019,776.35,778.3,763.55,771.95
20-06-2019,773.5,774.5,759,771.45
19-06-2019,782,789.25,763.75,771.25
18-06-2019,782,784.6,770.15,776.25
17-06-2019,801,802.4,775.25,776.7
14-06-2019,820,822.9,796.75,800.15
13-06-2019,812.35,822,811.9,819.7
12-06-2019,816,816,809.5,812.35
11-06-2019,817.7,821.35,807.5,814.95
10-06-2019,810,816.2,806.65,814.2
07-06-2019,809.7,812.8,801.65,804.2
06-06-2019,826.55,826.55,806.05,808.85
04-06-2019,807.8,826.4,805.55,821.4
03-06-2019,810.1,815,804,812.3
31-05-2019,813.4,818.15,794,808.5
30-05-2019,804.8,814.15,803.05,808.1
29-05-2019,809.5,813.25,802.5,804.8
28-05-2019,814.9,821.4,802.1,808.75
27-05-2019,793.65,814.7,787.6,812.45
24-05-2019,779,795.4,779,793.65
23-05-2019,789.9,803.7,770.5,777.05
22-05-2019,776.4,783.35,770.05,779.3
21-05-2019,791,791,771.55,773.1
20-05-2019,764.5,789,762,782.75
17-05-2019,734,751.5,727.25,748.15
16-05-2019,721.9,735.8,719.7,732.25
15-05-2019,736.3,737.65,716.4,721.25
14-05-2019,731.8,738.1,722.45,731.5
13-05-2019,730.95,742.5,730,732.35
10-05-2019,732.05,738.5,730,733.65
09-05-2019,735,740.2,729,730
08-05-2019,744.9,744.9,733.7,735.5
07-05-2019,753.5,755.35,740.5,742.55
06-05-2019,748.4,753.55,744.9,747.55
03-05-2019,754.95,763.3,753.65,757.4
02-05-2019,766.9,767.8,748.4,752.65
30-04-2019,760.2,769.55,755.2,766.9
26-04-2019,761.3,765,746.55,760.2
25-04-2019,755.7,758.7,737.6,740.85
24-04-2019,755,755.1,738.5,752.6
23-04-2019,758.05,759.35,749.3,753.1
22-04-2019,770.25,770.25,751.2,755.4
18-04-2019,777.35,779,769,771.2
16-04-2019,766,775.4,765.15,770.65
15-04-2019,764.15,769.95,761,763.2
12-04-2019,750.1,765.45,750.1,764.15
11-04-2019,760.1,760.65,747.05,752.05
10-04-2019,761.5,767.8,758.65,761.75
09-04-2019,754.05,766.05,750.6,763.55
08-04-2019,764.95,767.4,749.05,754.3
05-04-2019,765.8,769,756.05,761.95
04-04-2019,765,771.95,760,762.15
03-04-2019,771.8,772.95,758.55,761.4
02-04-2019,771,774.65,761.3,767.45
01-04-2019,779.95,783.55,760.65,765.1
29-03-2019,778.95,780.95,768.15,776.1
28-03-2019,762.15,788.55,757.5,780.2
27-03-2019,762,769.85,756,760.15
26-03-2019,749.6,761.7,742,757.2
25-03-2019,753.85,754.2,741,743.85
22-03-2019,763.2,765.75,752.45,757.35
20-03-2019,761.1,766.7,754,755.55
19-03-2019,754.1,763.2,749,761
18-03-2019,738.65,756,738.65,751.95
15-03-2019,743.45,748.5,732.5,735.7
14-03-2019,743.95,749.55,737.5,740.45
13-03-2019,747,750.9,736,738.45
12-03-2019,739.35,749.15,737.85,742.25
11-03-2019,731.6,744.9,731,734.15
08-03-2019,731.2,736.35,728.75,732.35
07-03-2019,722,738.4,719.75,732.2
06-03-2019,734,735,713.65,719.5
05-03-2019,704.6,734.2,701.05,732.1
01-03-2019,713.95,715,700,703.1
28-02-2019,721,722.35,706.8,709.35
27-02-2019,715.6,727.4,713.45,717.85
26-02-2019,695,714.5,690.5,710.1
25-02-2019,703.05,706.5,696.5,704
22-02-2019,696.3,704.95,691.4,703.05
21-02-2019,702,706.7,695.35,696.9
20-02-2019,698.55,702.7,694.95,700.9
19-02-2019,694.95,705.05,688.65,693.2
18-02-2019,687,697.5,681.2,692.6
15-02-2019,699.6,706.95,681.8,686.55
14-02-2019,704.05,706.45,693,694.75
13-02-2019,700.4,707.55,695.1,697.25
12-02-2019,700.75,713,698.5,705.85
11-02-2019,720.85,720.9,706,710.35
08-02-2019,725.65,732.2,715.9,718.25
07-02-2019,727.75,733.5,723.6,729.35
06-02-2019,729.3,734.35,715.95,723.9
05-02-2019,722.45,731.05,719,727.8
04-02-2019,713.4,723.5,707.4,719.2
01-02-2019,721,725.8,705.55,716.4
31-01-2019,698.7,726,689,722.95
30-01-2019,687.9,703,684,690.9
29-01-2019,659.35,671,650,660.8
28-01-2019,668,674.15,650.25,655.95
25-01-2019,665.8,676,665.35,667.75
24-01-2019,661.4,665.6,655.1,663.95
